"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Afghanistan","Iraq","2012","2","2","2","2"
"Afghanistan","Islamic Rep. of Iran","2012","37","37","37","37"
"Afghanistan","Pakistan","2012","35","35","16147","16147"
"Afghanistan","Syrian Arab Rep.","2012","1","1","1","1"
"Albania","Algeria","2012","1","1","1","1"
"Albania","China","2012","10","10","10","10"
"Albania","Czech Rep.","2012","0","0","0","0"
"Albania","Egypt","2012","2","2","2","2"
"Albania","Iraq","2012","5","5","5","5"
"Albania","Liberia","2012","0","0","0","0"
"Albania","Montenegro","2012","2","2","2","2"
"Albania","Serbia (and Kosovo: S/RES/1244 (1999))","2012","54","54","54","54"
"Albania","State of Palestine","2012","4","4","4","4"
"Albania","Tunisia","2012","2","2","2","2"
"Albania","Turkey","2012","3","3","3","3"
"Albania","Uzbekistan","2012","3","3","3","3"
"Algeria","Afghanistan","2012","2","0","2","0"
"Algeria","Angola","2012","4","0","4","0"
"Algeria","Burundi","2012","1","0","1","0"
"Algeria","Cameroon","2012","6","0","6","0"
"Algeria","Central African Rep.","2012","1","0","1","0"
"Algeria","Chad","2012","2","0","2","0"
"Algeria","Congo","2012","7","0","7","0"
"Algeria","Côte d'Ivoire","2012","23","0","23","0"
"Algeria","Dem. Rep. of the Congo","2012","39","0","39","0"
"Algeria","Guinea","2012","4","0","4","0"
"Algeria","Iraq","2012","15","0","15","0"
"Algeria","Liberia","2012","2","0","2","0"
"Algeria","Libya","2012","0","0","0","0"
"Algeria","Somalia","2012","4","0","4","0"
"Algeria","State of Palestine","2012","4020","0","4020","0"
"Algeria","Togo","2012","3","0","3","0"
"Algeria","Western Sahara","2012","90000","90000","90000","90000"
"Angola","Algeria","2012","1","0","1","0"
"Angola","Burundi","2012","18","0","18","0"
"Angola","Central African Rep.","2012","13","13","13","13"
"Angola","Chad","2012","191","15","191","15"
"Angola","Congo","2012","65","0","65","0"
"Angola","Côte d'Ivoire","2012","407","130","407","130"
"Angola","Cuba","2012","2","0","2","0"
"Angola","Dem. Rep. of the Congo","2012","20740","4500","20740","4500"
"Angola","Eritrea","2012","6","0","6","0"
"Angola","Guinea","2012","167","12","167","12"
"Angola","Guinea-Bissau","2012","5","0","5","0"
"Angola","Haiti","2012","2","1","2","1"
"Angola","Iraq","2012","2","0","2","0"
"Angola","Liberia","2012","160","20","160","20"
"Angola","Mauritania","2012","235","55","235","55"
"Angola","Rwanda","2012","452","150","452","150"
"Angola","Sierra Leone","2012","413","65","413","65"
"Angola","Somalia","2012","215","30","215","30"
"Angola","South Africa","2012","2","0","2","0"
"Angola","Sudan","2012","281","79","281","79"
"Angola","Uganda","2012","2","0","2","0"
"Angola","United Rep. of Tanzania","2012","6","0","6","0"
"Angola","Western Sahara","2012","27","8","27","8"
"Angola","Zambia","2012","1","0","1","0"
"Argentina","Afghanistan","2012","1","1","1","1"
"Argentina","Albania","2012","28","0","28","0"
"Argentina","Algeria","2012","45","1","45","1"
"Argentina","Angola","2012","13","1","13","1"
"Argentina","Armenia","2012","126","2","126","2"
"Argentina","Bangladesh","2012","7","0","7","0"
"Argentina","Belarus","2012","1","0","1","0"
"Argentina","Benin","2012","1","0","1","0"
"Argentina","Bolivia (Plurinational State of)","2012","3","0","3","0"
"Argentina","Bosnia and Herzegovina","2012","6","1","6","1"
"Argentina","Bulgaria","2012","2","0","2","0"
"Argentina","Burundi","2012","5","1","5","1"
"Argentina","Cameroon","2012","8","3","8","3"
"Argentina","Central African Rep.","2012","2","0","2","0"
"Argentina","Chad","2012","2","0","2","0"
"Argentina","Chile","2012","336","0","336","0"
"Argentina","Colombia","2012","497","26","497","26"
"Argentina","Congo","2012","9","1","9","1"
"Argentina","Costa Rica","2012","6","0","6","0"
"Argentina","Côte d'Ivoire","2012","37","15","37","15"
"Argentina","Croatia","2012","2","0","2","0"
"Argentina","Cuba","2012","340","5","340","5"
"Argentina","Dem. Rep. of the Congo","2012","13","1","13","1"
"Argentina","Dominican Rep.","2012","2","0","2","0"
"Argentina","Ecuador","2012","15","0","15","0"
"Argentina","El Salvador","2012","10","0","10","0"
"Argentina","Eritrea","2012","2","0","2","0"
"Argentina","Ethiopia","2012","4","0","4","0"
"Argentina","Gambia","2012","2","0","2","0"
"Argentina","Georgia","2012","5","0","5","0"
"Argentina","Ghana","2012","46","17","46","17"
"Argentina","Greece","2012","0","0","0","0"
"Argentina","Guatemala","2012","1","0","1","0"
"Argentina","Guinea","2012","9","1","9","1"
"Argentina","Guinea-Bissau","2012","19","0","19","0"
"Argentina","Haiti","2012","58","26","58","26"
"Argentina","Hungary","2012","0","0","0","0"
"Argentina","India","2012","33","0","33","0"
"Argentina","Iraq","2012","25","0","25","0"
"Argentina","Islamic Rep. of Iran","2012","22","0","22","0"
"Argentina","Italy","2012","1","0","1","0"
"Argentina","Kazakhstan","2012","22","0","22","0"
"Argentina","Kenya","2012","1","1","1","1"
"Argentina","Kyrgyzstan","2012","3","0","3","0"
"Argentina","Lao People's Dem. Rep.","2012","0","0","0","0"
"Argentina","Liberia","2012","69","10","69","10"
"Argentina","Mali","2012","16","0","16","0"
"Argentina","Mauritania","2012","2","0","2","0"
"Argentina","Mexico","2012","1","0","1","0"
"Argentina","Morocco","2012","2","0","2","0"
"Argentina","Nicaragua","2012","2","0","2","0"
"Argentina","Nigeria","2012","52","3","52","3"
"Argentina","Pakistan","2012","41","0","41","0"
"Argentina","Paraguay","2012","3","0","3","0"
"Argentina","Peru","2012","582","24","582","24"
"Argentina","Romania","2012","53","0","53","0"
"Argentina","Russian Federation","2012","60","17","60","17"
"Argentina","Rwanda","2012","1","0","1","0"
"Argentina","Senegal","2012","67","11","67","11"
"Argentina","Serbia (and Kosovo: S/RES/1244 (1999))","2012","17","0","17","0"
"Argentina","Sierra Leone","2012","53","7","53","7"
"Argentina","Somalia","2012","5","0","5","0"
"Argentina","South Africa","2012","3","0","3","0"
"Argentina","Sri Lanka","2012","34","2","34","2"
"Argentina","Stateless","2012","7","0","7","0"
"Argentina","Sudan","2012","3","0","3","0"
"Argentina","Syrian Arab Rep.","2012","40","0","40","0"
"Argentina","Togo","2012","2","1","2","1"
"Argentina","Tunisia","2012","2","2","2","2"
"Argentina","Turkey","2012","11","0","11","0"
"Argentina","Turkmenistan","2012","2","0","2","0"
