"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Afghanistan","Eritrea","2010","0","0","0","0"
"Afghanistan","Iraq","2010","6","6","6","6"
"Afghanistan","Islamic Rep. of Iran","2010","30","30","30","30"
"Afghanistan","Pakistan","2010","7","7","6398","6398"
"Albania","China","2010","6","6","6","6"
"Albania","Czech Rep.","2010","2","2","2","2"
"Albania","Egypt","2010","3","3","3","3"
"Albania","Iraq","2010","5","5","5","5"
"Albania","Islamic Rep. of Iran","2010","1","1","1","1"
"Albania","Libya","2010","1","1","1","1"
"Albania","Montenegro","2010","1","1","1","1"
"Albania","Serbia (and Kosovo: S/RES/1244 (1999))","2010","49","49","49","49"
"Albania","State of Palestine","2010","3","3","3","3"
"Albania","Tunisia","2010","1","1","1","1"
"Albania","Turkey","2010","3","3","3","3"
"Albania","Uzbekistan","2010","1","1","1","1"
"Algeria","Angola","2010","4","4","4","4"
"Algeria","Burundi","2010","1","1","1","1"
"Algeria","Cameroon","2010","6","6","6","6"
"Algeria","Central African Rep.","2010","0","0","0","0"
"Algeria","Chad","2010","2","2","2","2"
"Algeria","Congo","2010","6","6","6","6"
"Algeria","Côte d'Ivoire","2010","20","20","20","20"
"Algeria","Dem. Rep. of the Congo","2010","66","66","66","66"
"Algeria","Ethiopia","2010","0","0","0","0"
"Algeria","Guinea","2010","2","2","2","2"
"Algeria","Iraq","2010","15","15","15","15"
"Algeria","Liberia","2010","4","4","4","4"
"Algeria","Libya","2010","6","6","6","6"
"Algeria","Somalia","2010","3","3","3","3"
"Algeria","State of Palestine","2010","4007","2","4007","2"
"Algeria","Togo","2010","2","2","2","2"
"Algeria","Western Sahara","2010","90000","90000","90000","90000"
"Angola","Algeria","2010","1","0","1","0"
"Angola","Burundi","2010","14","0","14","0"
"Angola","Central African Rep.","2010","6","0","6","0"
"Angola","Chad","2010","148","8","148","8"
"Angola","Congo","2010","45","0","45","0"
"Angola","Côte d'Ivoire","2010","211","123","211","123"
"Angola","Cuba","2010","2","0","2","0"
"Angola","Dem. Rep. of the Congo","2010","13648","4500","13648","4500"
"Angola","Eritrea","2010","6","0","6","0"
"Angola","Guinea","2010","36","10","36","10"
"Angola","Guinea-Bissau","2010","2","0","2","0"
"Angola","Haiti","2010","1","1","1","1"
"Angola","Iraq","2010","2","0","2","0"
"Angola","Liberia","2010","75","13","75","13"
"Angola","Mauritania","2010","83","47","83","47"
