"LSOA01","Name","Annual Average Electricity Domestic Consumption  (kWh)(2007)","Annual Average Electricity Domestic Consumption  (kWh)(2008)","Annual Average Electricity Domestic Consumption  (kWh)(2009)","Annual Average Electricity Domestic Consumption  (kWh)(2010)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2007)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2008)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2009)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2010)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2007)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2008)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2009)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2010)","Annual Total Domestic Electricity Consumption  (kWh)(2007)","Annual Total Domestic Electricity Consumption  (kWh)(2008)","Annual Total Domestic Electricity Consumption  (kWh)(2009)","Annual Total Domestic Electricity Consumption  (kWh)(2010)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2007)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2008)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2009)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2010)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2007)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2008)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2009)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2010)","Number of Ordinary Domestic Meters(2010)","Number of Economy 7 Meters(2010)",
"_E01014485","Mina Road","3170","3032","3019","3033","3077.0","2906.0","2911.0","2926.0","4568.0","4937.0","4601.0","4698.0","2634235","2540929","2565869","2574847","2396687.0","2284220.0","2317435.0","2335276.0","237547.0","256710.0","248434.0","239572.0","798","51.0",
"_E01014486","St Agnes","3417","3223","3011","3121","3287.0","2982.0","2804.0","2930.0","4211.0","4628.0","4237.0","4338.0","3775460","3522656","3333506","3558039","3122764.0","2782129.0","2655656.0","2885710.0","652696.0","740527.0","677850.0","672330.0","985","155.0",
"_E01014487","Cromwell Road","4361","4206","3944","3975","4163.0","3976.0","3756.0","3844.0","6386.0","6701.0","6131.0","5482.0","3375222","3343635","3241657","3275390","2934585.0","2894699.0","2843138.0","2913553.0","440637.0","448936.0","398518.0","361837.0","758","66.0",
"_E01014488","Upper Montpelier","3495","3225","3091","3177","3466.0","3142.0","3097.0","3152.0","3922.0","4591.0","2980.0","3643.0","2834463","2706040","2654844","2725556","2630497.0","2485656.0","2511816.0","2565288.0","203966.0","220384.0","143028.0","160269.0","814","44.0",
"_E01014489","Lower Montpelier","3015","2906","2930","2979","2821.0","2754.0","2747.0","2825.0","5153.0","4575.0","5063.0","4799.0","3307119","3248633","3594984","3763003","2838201.0","2823178.0","3103923.0","3287939.0","468918.0","425455.0","491060.0","475064.0","1164","99.0",
"_E01014490","St Pauls","4012","3758","3761","3736","2931.0","2805.0","2949.0","2980.0","6076.0","5673.0","5522.0","5424.0","6920206","6692936","7081794","7102204","3317408.0","3334832.0","3801736.0","3912749.0","3602798.0","3358104.0","3280058.0","3189456.0","1313","588.0",
"_E01014491","Ashley Hill","3879","3580","3483","3487","3811.0","3519.0","3397.0","3455.0","4923.0","4493.0","4779.0","4037.0","2870313","2771270","2737958","2761954","2648786.0","2551111.0","2503798.0","2584349.0","221527.0","220159.0","234160.0","177605.0","748","44.0",
"_E01014492","Shirehampton Centre","4214","4152","4069","4009","3205.0","3294.0","3261.0","3264.0","7492.0","7062.0","6837.0","6579.0","3169258","3117908","3080153","3034508","1843112.0","1910248.0","1911084.0","1916060.0","1326146.0","1207660.0","1169069.0","1118448.0","587","170.0",
"_E01014493","Barrow Hill","4576","4127","4099","4059","4339.0","3871.0","3718.0","3759.0","5937.0","5648.0","6503.0","6032.0","2837135","2571379","2635522","2646403","2290963.0","2063080.0","2063280.0","2127633.0","546172.0","508299.0","572242.0","518769.0","566","86.0",
"_E01014494","Shirehampton Portway","4032","3923","3770","3825","3823.0","3736.0","3562.0","3603.0","7233.0","7067.0","7383.0","7710.0","2633077","2577549","2502986","2539911","2343751.0","2316062.0","2237207.0","2262345.0","289326.0","261487.0","265780.0","277567.0","628","36.0",
"_E01014495","Woodwell Road","4370","4048","4019","4032","3684.0","3469.0","3498.0","3539.0","6892.0","6198.0","6068.0","6125.0","3167950","2955239","2973771","3108780","2099692.0","1994517.0","2063558.0","2208358.0","1068258.0","960722.0","910213.0","900422.0","624","147.0",
"_E01014496","Avonmouth Docks","4222","3912","3828","4093","4036.0","3738.0","3652.0","3932.0","6779.0","6443.0","6338.0","6431.0","3056557","2867162","2801966","3049076","2724364.0","2564350.0","2497723.0","2740384.0","332193.0","302812.0","304243.0","308692.0","697","48.0",
"_E01014497","Lawrence Weston West","4140","3860","3763","3724","3721.0","3520.0","3441.0","3373.0","6110.0","5546.0","5496.0","5731.0","2852775","2690287","2618733","2647910","2113506.0","2041387.0","2019720.0","2040387.0","739269.0","648900.0","599013.0","607523.0","605","106.0",
"_E01014498","Kingsweston Avenue","4152","4006","3998","3656","3663.0","3547.0","3599.0","3287.0","5752.0","5538.0","5412.0","4992.0","2785712","2676188","2686900","2449440","1882695.0","1823287.0","1885987.0","1725666.0","903017.0","852902.0","800913.0","723774.0","525","145.0",
"_E01014499","Avonmouth Village","4586","4422","4309","4229","4428.0","4287.0","4144.0","4120.0","6035.0","5678.0","5867.0","5235.0","2893785","2785725","2732173","2681184","2519633.0","2439388.0","2374261.0","2356595.0","374153.0","346337.0","357911.0","324589.0","572","62.0",
"_E01014500","Parson Street","3470","3347","3384","3338","3344.0","3260.0","3290.0","3201.0","6210.0","5031.0","5306.0","6030.0","2609135","2523389","2544637","2486487","2404216.0","2337248.0","2358930.0","2269411.0","204918.0","186141.0","185707.0","217076.0","709","36.0",
"_E01014501","Ashton Vale","3812","3438","3597","3530","3663.0","3331.0","3475.0","3452.0","7393.0","6154.0","7023.0","5869.0","2759910","2544018","2712088","2746250","2545519.0","2371696.0","2529483.0","2599533.0","214392.0","172322.0","182605.0","146717.0","753","25.0",
"_E01014502","Bedminster Road","3605","3429","3629","3386","3387.0","3225.0","3450.0","3286.0","7510.0","6982.0","6712.0","5298.0","2995645","2722400","2910520","2729142","2665204.0","2422177.0","2615187.0","2517227.0","330441.0","300224.0","295333.0","211915.0","766","40.0",
"_E01014503","West Street","3623","3931","3958","4001","3466.0","3846.0","3871.0","3920.0","6644.0","5661.0","5735.0","5645.0","5289735","5869152","6012040","6085055","4811387.0","5472898.0","5604864.0","5684286.0","478348.0","396254.0","407176.0","400768.0","1450","71.0",
"_E01014504","Luckwell Road","3428","3172","3201","3141","3233.0","2987.0","3028.0","3025.0","5883.0","5704.0","5582.0","4738.0","2372338","2230199","2263098","2232998","2072312.0","1956418.0","1995164.0","2005559.0","300026.0","273781.0","267934.0","227438.0","663","48.0",
"_E01014505","Chessel Street","3182","2968","3053","2867","2974.0","2765.0","2834.0","2715.0","6695.0","6648.0","7372.0","6131.0","2666802","2498728","2594727","2454078","2352151.0","2206230.0","2292492.0","2221089.0","314651.0","292497.0","302235.0","232989.0","818","38.0",
"_E01014506","Winterstoke Road","4182","4029","4035","4039","3978.0","3833.0","3845.0","3835.0","8769.0","8346.0","8402.0","8842.0","2647402","2505851","2517848","2576865","2410642.0","2280498.0","2299398.0","2346973.0","236760.0","225353.0","218450.0","229891.0","612","26.0",
"_E01014507","Seymour Road","3788","3588","3619","3492","3570.0","3335.0","3386.0","3343.0","5718.0","5960.0","5948.0","4722.0","2572140","2454130","2464698","2420042","2177593.0","2060770.0","2095903.0","2065917.0","394547.0","393360.0","368795.0","354124.0","618","75.0",
"_E01014508","Cricket Ground","4467","4219","4264","4429","4233.0","3983.0","3987.0","4261.0","7319.0","7089.0","7956.0","6813.0","2358316","2227448","2260101","2360570","2065541.0","1943893.0","1965738.0","2122100.0","292775.0","283556.0","294363.0","238470.0","498","35.0",
"_E01014509","Ashley Down","3875","3866","3911","3806","3699.0","3731.0","3808.0","3735.0","6329.0","5935.0","5568.0","5002.0","2666011","3019450","3269560","3311222","2374855.0","2734558.0","2996734.0","3066103.0","291156.0","284892.0","272826.0","245118.0","821","49.0",
"_E01014510","Memorial Stadium","3576","3286","3457","3304","3440.0","3171.0","3358.0","3220.0","6083.0","5595.0","5447.0","4968.0","2703696","2487666","2637565","2534514","2466470.0","2286262.0","2441472.0","2350699.0","237226.0","201404.0","196092.0","183814.0","730","37.0",
"_E01014511","Bishop Road","3865","3586","3589","3599","3826.0","3560.0","3551.0","3574.0","5071.0","4505.0","4930.0","4519.0","1959615","1829019","1837335","1846483","1878481.0","1765951.0","1768319.0","1783220.0","81134.0","63069.0","69016.0","63263.0","499","14.0",
"_E01014512","Somerville Road","4403","4101","3884","4112","4109.0","4000.0","3799.0","3736.0","8547.0","5619.0","5164.0","10033.0","2523047","2362102","2237176","2409898","2198257.0","2159832.0","2051276.0","2058745.0","324790.0","202270.0","185900.0","351153.0","551","35.0",
"_E01014513","St Bonaventures","3811","3591","3542","3657","3662.0","3422.0","3410.0","3546.0","5717.0","5798.0","5375.0","5343.0","2419837","2280133","2266743","2351653","2156868.0","2019205.0","2035606.0","2137916.0","262969.0","260928.0","231137.0","213737.0","603","40.0",
"_E01014514","Radnor Road","3689","3404","3240","3323","3528.0","3262.0","3084.0","3180.0","6516.0","6042.0","6143.0","6146.0","2940203","2866402","2734687","2818237","2660031.0","2606610.0","2470549.0","2566240.0","280172.0","259792.0","264138.0","251998.0","807","41.0",
"_E01014515","Highridge Common","4442","4099","4291","4027","4304.0","4027.0","4215.0","3972.0","6724.0","5334.0","5458.0","4884.0","2647476","2471674","2591977","2424216","2418847.0","2295641.0","2390019.0","2248391.0","228629.0","176032.0","201958.0","175825.0","566","36.0",
"_E01014516","Four Acres","3916","3862","3828","3736","3752.0","3753.0","3687.0","3552.0","5662.0","4979.0","5284.0","5718.0","2416220","2386915","2373500","2368684","2116129.0","2113098.0","2082905.0","2059911.0","300091.0","273818.0","290595.0","308773.0","580","54.0",
